"","weeks","bound","group"
"229",21,1.84962270701475,1
"230",22,1.8617845220503,1
"231",23,1.83356893921735,1
"232",24,1.83152556334973,1
"233",25,1.84375812989326,1
"234",26,1.84683407003886,1
"235",27,1.83042287030931,1
"236",28,1.84474292126272,1
"237",29,1.84384709231419,1
"238",30,1.840902248691,1
"239",31,1.83355143868656,1
"240",32,1.82694104419638,1
"241",33,1.81261278911389,1
"242",34,1.84037024657051,1
"243",35,1.81780344351579,1
"244",36,1.81669889946538,1
"245",37,1.81524916088725,1
"246",38,1.82793647354353,1
"247",39,1.84157014842782,1
"248",40,1.82532000139444,1
"249",41,1.83070378951075,1
"250",42,1.83338975728528,1
"251",43,1.84516370523674,1
"252",44,1.8202892565027,1
"253",45,1.82219003601311,1
"254",46,1.83512322715618,1
"255",47,1.83798940850871,1
"256",48,1.82783926387967,1
"257",49,1.83765872726437,1
"258",50,1.84146114764887,1
"259",51,1.82114897923203,1
"260",52,1.81279372653918,1
"261",53,1.82977419603715,1
"262",54,1.84883808463425,1
"263",55,1.86096707860579,1
"264",56,1.84853225045309,1
"265",57,1.8584265917124,1
"266",58,1.87498925408168,1
"267",59,1.88914176963753,1
"268",60,1.88826037548799,1
"269",61,1.89385244998882,1
"270",62,1.89236148244996,1
"271",63,1.89759042907126,1
"272",64,1.89600045016853,1
"273",65,1.88314845607041,1
"274",66,1.90199687797385,1
"275",67,1.90762745075784,1
"276",68,1.90895377939735,1
"277",69,1.89792259495069,1
"278",70,1.89670745148373,1
"279",71,1.89909023208909,1
"280",72,1.8878907732153,1
"281",73,1.88198517805599,1
"282",74,1.88803377781533,1
"283",75,1.89340111438015,1
"284",76,1.87590563201285,1
"285",77,1.91266847361726,1
"286",78,1.90499255165069,1
"287",79,1.88948508401117,1
"288",80,1.87981633127835,1
"289",81,1.89515671516525,1
"290",82,1.89886375962019,1
"291",83,1.86078681466446,1
"292",84,1.87561736959923,1
"293",85,1.88101350696781,1
"294",86,1.87982478981233,1
"295",87,1.88438916002417,1
"296",88,1.87648181968374,1
"297",89,1.88850761709638,1
"298",90,1.8945817817924,1
"299",91,1.8823374361121,1
"300",92,1.86434014986251,1
"301",93,1.89214017138288,1
"302",94,1.88595824826834,1
"303",95,1.89679702944123,1
"304",96,1.90450250436298,1
"305",97,1.91273096138085,1
"306",98,1.90666990336544,1
"307",99,1.91464124978255,1
"308",100,1.91221522619312,1
"309",101,1.90877421282402,1
"310",102,1.90543109337363,1
"311",103,1.88951755603884,1
"312",104,1.91472420123662,1
"313",105,1.92396127379758,1
"314",106,1.90637103983251,1
"315",107,1.91259994881806,1
"316",108,1.90632375390997,1
"317",109,1.90252087037741,1
"318",110,1.9079573033044,1
"319",111,1.89368772362074,1
"320",112,1.88045553014023,1
"321",113,1.89905260227903,1
"322",114,1.91105363025364,1
"323",115,1.90059498549861,1
"324",116,1.89450959678596,1
"325",117,1.8893823483484,1
"326",118,1.90379933234642,1
"327",119,1.90352967204817,1
"328",120,1.93210484800141,1
"329",121,1.89054789874498,1
"330",122,1.91286612006815,1
"331",123,1.93086440019778,1
"332",124,1.94373014383986,1
"333",125,1.93530621658349,1
"334",126,1.91624596494375,1
"335",127,1.91667501116231,1
"336",128,1.91962134089257,1
"337",129,1.88936727473323,1
"338",130,1.91541604232945,1
"339",131,1.92469426256384,1
"340",132,1.95385348489075,1
"341",133,1.95220681760036,1
"342",134,1.96062261261894,1
"343",135,1.97892057685551,1
"344",136,1.97909381581046,1
"345",137,1.98567516744733,1
"346",138,1.95808940247093,1
"347",139,1.95951056936931,1
"348",140,1.97954786814799,1
"349",141,1.97165683600844,1
"350",142,1.98472443619478,1
"351",143,1.99400343074173,1
"352",144,1.99360282657652,1
"353",145,1.97096238758188,1
"354",146,2.00450733224055,1
"355",147,1.97306158175632,1
"356",148,1.99918786883182,1
"357",149,1.98583408603968,1
"358",150,2.02604729524071,1
"359",151,2.014657808462,1
"360",152,2.03604409581005,1
"361",153,2.01604666085189,1
"362",154,2.01303554802702,1
"363",155,2.00167271626352,1
"364",156,1.99958706981422,1
"365",157,1.99116361978225,1
"366",158,2.00614114219706,1
"367",159,2.0019318249443,1
"368",160,1.99234472700115,1
"369",161,2.00089271913507,1
"370",162,2.04598935620792,1
"371",163,2.02641253601414,1
"372",164,2.00952240590577,1
"373",165,2.01665100791302,1
"374",166,2.01879274166431,1
"375",167,2.01973962439167,1
"376",168,2.01681099410089,1
"377",169,2.0136950358769,1
"378",170,2.01211926072012,1
"379",171,2.02147306415494,1
"380",172,2.00977048575779,1
"381",173,2.02461155458765,1
"382",174,2.01883421910949,1
"383",175,2.04502630943779,1
"384",176,2.01603352636792,1
"385",177,2.02692208750495,1
"386",178,2.02715352418542,1
"387",179,2.01886833847061,1
"388",180,2.03503749951,1
"389",181,2.02134501499292,1
"390",182,2.04442829426657,1
"391",183,2.03610978180216,1
"392",184,2.02059030919291,1
"393",185,2.0234479417269,1
"394",186,2.03496037189407,1
"395",187,2.03590864943007,1
"396",188,2.02569677284964,1
"397",189,2.04526634836333,1
"398",190,2.04207621108864,1
"399",191,2.03459019560963,1
"400",192,2.05006068861713,1
"401",193,2.01460051254049,1
"402",194,2.02880602103617,1
"403",195,2.03119396815769,1
"404",196,2.04542481176136,1
"405",197,2.04232872200876,1
"406",198,2.04983030958634,1
"407",199,2.03344404412769,1
"408",200,2.04531925294191,1
"409",201,2.05307830580664,1
"410",202,2.02860182331899,1
"411",203,2.02071307768613,1
"412",204,2.03183144962989,1
"413",205,2.0206076188515,1
"414",206,2.04271132458661,1
"415",207,2.03538528863493,1
"416",208,2.01426339990821,1
