"","weeks","bound","group"
"1",1,1.56667724662119,0
"2",2,1.54122494332182,0
"3",3,1.52402997686971,0
"4",4,1.50927562797784,0
"5",5,1.51411799394965,0
"6",6,1.49771430560058,0
"7",7,1.49220767982061,0
"8",8,1.50483211709941,0
"9",9,1.50169541539817,0
"10",10,1.51885951677582,0
"11",11,1.52525235036512,0
"12",12,1.5227603668079,0
"13",13,1.51370122767556,0
"14",14,1.52815678049766,0
"15",15,1.52846500670884,0
"16",16,1.5369153889837,0
"17",17,1.55448377870151,0
"18",18,1.55915043550519,0
"19",19,1.55554579244099,0
"20",20,1.55464766755546,0
"21",21,1.56908757001784,0
"22",22,1.56844658299257,0
"23",23,1.57633788037821,0
"24",24,1.57820229803637,0
"25",25,1.57703508715341,0
"26",26,1.57940517934547,0
"27",27,1.59322663080273,0
"28",28,1.59030322976191,0
"29",29,1.58853388270732,0
"30",30,1.60764226062246,0
"31",31,1.61232865417411,0
"32",32,1.61522316074682,0
"33",33,1.62834004096149,0
"34",34,1.61266214187146,0
"35",35,1.61908949784755,0
"36",36,1.61733662696947,0
"37",37,1.61413106319689,0
"38",38,1.60580527037829,0
"39",39,1.60903322937926,0
"40",40,1.6244314143697,0
"41",41,1.62756465698563,0
"42",42,1.62477517010189,0
"43",43,1.61940754926112,0
"44",44,1.63019655236687,0
"45",45,1.64335208174963,0
"46",46,1.63443809140326,0
"47",47,1.6386881834571,0
"48",48,1.64569494969725,0
"49",49,1.64095097425198,0
"50",50,1.64272863186559,0
"51",51,1.65656684870052,0
"52",52,1.65813307465501,0
"53",53,1.65885961068944,0
"54",54,1.66118133099038,0
"55",55,1.68810174967098,0
"56",56,1.70511583638457,0
"57",57,1.72534060543759,0
"58",58,1.72066300701915,0
"59",59,1.71809009983548,0
"60",60,1.73166457663128,0
"61",61,1.74204733591387,0
"62",62,1.75190767857247,0
"63",63,1.75291227175431,0
"64",64,1.76319427235424,0
"65",65,1.76873856206456,0
"66",66,1.76227528710658,0
"67",67,1.76638347778019,0
"68",68,1.76296626528258,0
"69",69,1.77035732871382,0
"70",70,1.77786691354599,0
"71",71,1.78652892146765,0
"72",72,1.8099727504431,0
"73",73,1.81605719758627,0
"74",74,1.81547905025934,0
"75",75,1.80817053084719,0
"76",76,1.81834192778052,0
"77",77,1.79142814716897,0
"78",78,1.80009558483581,0
"79",79,1.80675398562602,0
"80",80,1.82221509127524,0
"81",81,1.81901094922151,0
"82",82,1.81639659203864,0
"83",83,1.84888064452898,0
"84",84,1.83502098880571,0
"85",85,1.82386807620415,0
"86",86,1.83618709071232,0
"87",87,1.84023248381932,0
"88",88,1.84890712396207,0
"89",89,1.82525362212176,0
"90",90,1.82700926247492,0
"91",91,1.83775797120029,0
"92",92,1.8605833488792,0
"93",93,1.8320507860353,0
"94",94,1.83774513926104,0
"95",95,1.83951499995322,0
"96",96,1.82715370130087,0
"97",97,1.83121414845527,0
"98",98,1.83913968103883,0
"99",99,1.83320193355926,0
"100",100,1.8377432049318,0
"101",101,1.84209975083957,0
"102",102,1.843949007143,0
"103",103,1.87330645815739,0
"104",104,1.86422641496631,0
"105",105,1.84883361091722,0
"106",106,1.85088571282734,0
"107",107,1.84385817056977,0
"108",108,1.85134303094635,0
"109",109,1.85567594231687,0
"110",110,1.85896842816043,0
"111",111,1.87007248565115,0
"112",112,1.88022805384051,0
"113",113,1.86866440995883,0
"114",114,1.87399066201908,0
"115",115,1.88346165499135,0
"116",116,1.88802882844632,0
"117",117,1.89381488418097,0
"118",118,1.8794677942266,0
"119",119,1.88248400048382,0
"120",120,1.86617251106875,0
"121",121,1.90292060459871,0
"122",122,1.88548741175306,0
"123",123,1.874612439334,0
"124",124,1.87055212929481,0
"125",125,1.87611406155653,0
"126",126,1.89367283520751,0
"127",127,1.88464351211787,0
"128",128,1.88151255473262,0
"129",129,1.90836785529005,0
"130",130,1.88330860980172,0
"131",131,1.8875520783493,0
"132",132,1.89017685608989,0
"133",133,1.90395496390825,0
"134",134,1.92216954548523,0
"135",135,1.91712538410357,0
"136",136,1.92323362193039,0
"137",137,1.93162565642292,0
"138",138,1.95984164519378,0
"139",139,1.96175440928623,0
"140",140,1.94277335216863,0
"141",141,1.96441867562763,0
"142",142,1.95093264430445,0
"143",143,1.9419599611194,0
"144",144,1.94120147106009,0
"145",145,1.96621303214005,0
"146",146,1.93758927621475,0
"147",147,1.96730882963728,0
"148",148,1.94999361247311,0
"149",149,1.96004310126674,0
"150",150,1.93341539261524,0
"151",151,1.95266886912459,0
"152",152,1.94084937852278,0
"153",153,1.97034127876769,0
"154",154,1.97171530496727,0
"155",155,1.98640179554415,0
"156",156,2.0013228848575,0
"157",157,2.01678058307752,0
"158",158,1.99500017896262,0
"159",159,2.00018640132932,0
