"","weeks","fraction"
"1",1,0
"2",2,0
"3",3,0
"4",4,0
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0.0162930563149262
"11",11,0.0145434663750683
"12",12,0.0134499726626572
"13",13,0.00984144341170038
"14",14,0.011372334609076
"15",15,0.00918534718425369
"16",16,0.00820120284308365
"17",17,0.0188080918534718
"18",18,0.0229633679606342
"19",19,0.0349917987971569
"20",20,0.0272279934390377
"21",21,0.0290869327501367
"22",22,0.0286495352651722
"23",23,0.0443958447238928
"24",24,0.0475669764898852
"25",25,0.0453799890650629
"26",26,0.055002733734281
"27",27,0.0433023510114817
"28",28,0.0508474576271186
"29",29,0.049316566429743
"30",30,0.0716238381629306
"31",31,0.0832148715144888
"32",32,0.0921815199562603
"33",33,0.100601421541826
"34",34,0.0925095680699836
"35",35,0.0958993985784582
"36",36,0.108911973756151
"37",37,0.105959540732641
"38",38,0.0964461454346637
"39",39,0.0797156916347731
"40",40,0.0973209404045927
"41",41,0.0973209404045927
"42",42,0.0717331875341717
"43",43,0.102788408966648
"44",44,0.0929469655549481
"45",45,0.0962274466921815
"46",46,0.114160743575724
"47",47,0.12454893384363
"48",48,0.117769272826681
"49",49,0.111536358665938
"50",50,0.133952979770366
"51",51,0.117769272826681
"52",52,0.0986331328594861
"53",53,0.140295243302351
"54",54,0.211153635866594
"55",55,0.23827227993439
"56",56,0.244614543466375
"57",57,0.281902679059595
"58",58,0.287479496992892
"59",59,0.287588846364133
"60",60,0.340732640787315
"61",61,0.329688354291963
"62",62,0.341607435757244
"63",63,0.28922908693275
"64",64,0.304756697648988
"65",65,0.306615636960087
"66",66,0.304537998906506
"67",67,0.287916894477857
"68",68,0.290759978130126
"69",69,0.309568069983598
"70",70,0.319409513395298
"71",71,0.30486604702023
"72",72,0.314926189174412
"73",73,0.326954620010935
"74",74,0.334171678512849
"75",75,0.316129032258064
"76",76,0.324002186987425
"77",77,0.3470749043193
"78",78,0.328048113723346
"79",79,0.379551667577911
"80",80,0.395188627665391
"81",81,0.409513395297977
"82",82,0.407982504100601
"83",83,0.450738108255878
"84",84,0.510005467468562
"85",85,0.532640787315473
"86",86,0.531219245489338
"87",87,0.491634773100055
"88",88,0.489994532531438
"89",89,0.505084745762712
"90",90,0.556041552761072
"91",91,0.608091853471843
"92",92,0.664188080918535
"93",93,0.619026790595954
"94",94,0.564352104975396
"95",95,0.565992345544013
"96",96,0.568944778567523
"97",97,0.567523236741389
"98",98,0.522033898305085
"99",99,0.525970475669765
"100",100,0.528922908693275
"101",101,0.57255330781848
"102",102,0.579989065062876
"103",103,0.611262985237835
"104",104,0.570913067249863
"105",105,0.580645161290323
"106",106,0.586550027337343
"107",107,0.623072717331875
"108",108,0.644067796610169
"109",109,0.617058501913614
"110",110,0.651175505740842
"111",111,0.650191361399672
"112",112,0.627774740295243
"113",113,0.641006014215418
"114",114,0.683652268999453
"115",115,0.655002733734281
"116",116,0.66375068343357
"117",117,0.676763258611263
"118",118,0.721377802077638
"119",119,0.73231273920175
"120",120,0.74215418261345
"121",121,0.708365226899945
"122",122,0.716347731000547
"123",123,0.707709130672499
"124",124,0.692837616183707
"125",125,0.685183160196829
"126",126,0.677091306724986
"127",127,0.663641334062329
"128",128,0.655221432476763
"129",129,0.661235647895025
"130",130,0.712192454893384
"131",131,0.720174958993986
"132",132,0.729688354291963
"133",133,0.714488791689448
"134",134,0.734171678512849
"135",135,0.720065609622745
"136",136,0.699726626571897
"137",137,0.724330235101148
"138",138,0.719956260251503
"139",139,0.739311098961181
"140",140,0.725314379442318
"141",141,0.724767632586113
"142",142,0.692946965554948
"143",143,0.718862766539092
"144",144,0.674029524330235
"145",145,0.720174958993986
"146",146,0.684964461454347
"147",147,0.680699835975943
"148",148,0.634991798797157
"149",149,0.673592126845271
"150",150,0.672717331875342
"151",151,0.694259158009841
"152",152,0.724111536358666
"153",153,0.721159103335156
"154",154,0.758009841443412
"155",155,0.727829414980864
"156",156,0.749371241115364
"157",157,0.770038272279934
"158",158,0.761509021323127
"159",159,0.7784581738655
"160",160,0.758665937670858
"161",161,0.768835429196282
"162",162,0.75002733734281
"163",163,0.734609075997813
"164",164,0.73624931656643
"165",165,0.707271733187534
"166",166,0.71077091306725
"167",167,0.714816839803171
"168",168,0.744887916894478
"169",169,0.768179332968835
"170",170,0.793767085839256
"171",171,0.800437397484964
"172",172,0.792892290869328
"173",173,0.784363039912521
"174",174,0.776052487698196
"175",175,0.764352104975396
"176",176,0.818370694368507
"177",177,0.823728813559322
"178",178,0.82449425915801
"179",179,0.806998359759431
"180",180,0.79901585565883
"181",181,0.789502460360853
"182",182,0.799781301257518
"183",183,0.798906506287589
"184",184,0.835647895024604
"185",185,0.869327501366867
"186",186,0.871295790049207
"187",187,0.820010934937124
"188",188,0.828758884636413
"189",189,0.805467468562056
"190",190,0.812793876435211
"191",191,0.79114270092947
"192",192,0.803608529250957
"193",193,0.783925642427556
"194",194,0.793876435210498
"195",195,0.799890650628759
"196",196,0.813012575177693
"197",197,0.77156916347731
"198",198,0.786659376708584
"199",199,0.795844723892838
"200",200,0.806451612903226
"201",201,0.790049207217059
"202",202,0.773974849644614
"203",203,0.802186987424822
"204",204,0.79311098961181
"205",205,0.809404045926736
"206",206,0.844286495352652
"207",207,0.853581191908147
"208",208,0.806998359759431
